Libre wave 151-250 workers=4 glossary=514 entries
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 11 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 16 ב fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 16 ב fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 11 _ fetch failed
FAIL siman_160\rabbi-akiva-eiger-yd\part-001.txt 18 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 16 ג fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 17 א fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 14 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 6 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 16 ד fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 18 ה fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 15 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 8 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 16 ו fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 20 א fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 16 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 12 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 17 א fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 20 ב fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 18 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 15 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 17 ב fetch failed
FAIL siman_160\siftei-kohen\part-001.txt 23 _ fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 19 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 16 ג fetch failed
FAIL siman_160\beur-hagra\part-001.txt 18 א fetch failed
FAIL siman_160\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 20 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 17 א fetch failed
FAIL siman_160\beur-hagra\part-001.txt 18 ב fetch failed
FAIL siman_160\yad-avraham\part-001.txt 2 _ fetch failed
FAIL siman_160\pitchei-teshuva\part-001.txt 21 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 17 ב fetch failed
FAIL siman_160\beur-hagra\part-001.txt 18 ג fetch failed
FAIL siman_160\yad-avraham\part-001.txt 3 _ fetch failed
FAIL siman_160\yad-ephraim\part-001.txt 1 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 18 ג fetch failed
FAIL siman_160\beur-hagra\part-001.txt 18 ד fetch failed
FAIL siman_160\yad-avraham\part-001.txt 4 _ fetch failed
FAIL siman_160\yad-ephraim\part-001.txt 2 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 22 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 18 ה fetch failed
FAIL siman_160\yad-avraham\part-001.txt 5 _ fetch failed
FAIL siman_160\turei-zahav\part-001.txt 23 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 18 ו fetch failed
FAIL siman_160\yad-avraham\part-001.txt 7 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 20 א fetch failed
FAIL siman_160\yad-avraham\part-001.txt 9 _ fetch failed
FAIL siman_160\beur-hagra\part-001.txt 21 ב fetch failed
siman_160 libre-wave DONE (9 blocks)
FAIL siman_161\nekudot-hakesef\part-001.txt 1 _ fetch failed
FAIL siman_161\beur-hagra\part-001.txt 2 א fetch failed
FAIL siman_161\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_161\baer-heitev\part-001.txt 10 _ fetch failed
FAIL siman_161\pitchei-teshuva\part-001.txt 5 _ fetch failed
FAIL siman_161\rabbi-akiva-eiger-yd\part-001.txt 3 _ fetch failed
FAIL siman_161\baer-heitev\part-001.txt 11 א fetch failed
FAIL siman_161\beur-hagra\part-001.txt 3 _ fetch failed
FAIL siman_161\beur-hagra\part-001.txt 4 _ fetch failed
FAIL siman_161\pitchei-teshuva\part-001.txt 6 _ fetch failed
FAIL siman_161\pitchei-teshuva\part-001.txt 9 _ fetch failed
FAIL siman_161\turei-zahav\part-001.txt 1 א fetch failed
FAIL siman_161\beur-hagra\part-001.txt 5 ב fetch failed
FAIL siman_161\siftei-kohen\part-001.txt 11 ד fetch failed
FAIL siman_161\turei-zahav\part-001.txt 5 _ fetch failed
FAIL siman_161\yad-avraham\part-001.txt 1 _ fetch failed
FAIL siman_161\yad-ephraim\part-001.txt 1 _ fetch failed
FAIL siman_161\yad-ephraim\part-001.txt 2 _ fetch failed
FAIL siman_161\yad-avraham\part-001.txt 4 _ fetch failed
FAIL siman_161\yad-ephraim\part-001.txt 3 _ fetch failed
siman_161 libre-wave DONE (32 blocks)
FAIL siman_162\baer-heitev\part-001.txt 2 א fetch failed
FAIL siman_162\nekudot-hakesef\part-001.txt 3 _ fetch failed
FAIL siman_162\beur-hagra\part-001.txt 1 ה fetch failed
FAIL siman_162\nekudot-hakesef\part-001.txt 4 _ fetch failed
FAIL siman_162\baer-heitev\part-001.txt 3 א fetch failed
FAIL siman_162\beur-hagra\part-001.txt 2 ג fetch failed
FAIL siman_162\pitchei-teshuva\part-001.txt 4 _ fetch failed
FAIL siman_162\baer-heitev\part-001.txt 4 _ fetch failed
FAIL siman_162\rabbi-akiva-eiger-yd\part-001.txt 1 _ fetch failed
FAIL siman_162\beur-hagra\part-001.txt 2 ו fetch failed
FAIL siman_162\siftei-kohen\part-001.txt 2 ד fetch failed
FAIL siman_162\rabbi-akiva-eiger-yd\part-001.txt 2 _ fetch failed
