Retranslate simanim 202-300 codes=[mt_garbage] dry=false
OK siman_213\rabbi-akiva-eiger-yd\part-001.txt seif 1 marker _
OK siman_213\turei-zahav\part-001.txt seif 1 marker _
OK siman_213\yad-avraham\part-001.txt seif 1 marker _
OK siman_214\baer-heitev\part-001.txt seif 2 marker ב
OK siman_214\beer-hagolah\part-001.txt seif 1 marker א
OK siman_214\beer-hagolah\part-001.txt seif 1 marker ב
OK siman_214\beur-hagra\part-001.txt seif 1 marker א
OK siman_214\pitchei-teshuva\part-001.txt seif 2 marker _
OK siman_214\siftei-kohen\part-001.txt seif 1 marker ג
OK siman_214\siftei-kohen\part-001.txt seif 2 marker ג
OK siman_215\baer-heitev\part-001.txt seif 1 marker א
OK siman_215\baer-heitev\part-001.txt seif 1 marker ב
OK siman_215\baer-heitev\part-001.txt seif 3 marker _
OK siman_215\baer-heitev\part-001.txt seif 4 marker ב
OK siman_215\baer-heitev\part-001.txt seif 6 marker ב
OK siman_215\beer-hagolah\part-001.txt seif 1 marker _
OK siman_215\beer-hagolah\part-001.txt seif 2 marker _
